Strain	Antigenic advance (tree model)	Antigenic advance (sub model)	Clade	Country	Epitope mutations	Local branching index	Non-epitope mutations	ne_star	RBS adjacent mutations	Region	Submitting lab	Collection Data	Vaccine Selection Date	Accession	Originating lab
A/Norway/1789/2011	3.20	4.07	3c	Norway	14.00	0.06	5.00		2.00	Europe	Norwegian Institute Of Public Health	2011-08-02		EPI332697	Norwegian Institute Of Public Health
A/Bratislava/31/2011	3.20	4.11	3c	Slovakia	14.00	0.02	6.00	1.00	2.00	Europe	National Institute For Medical Research	2011-11-03		EPI346591	National Public Health Institute Of Slovakia
A/Kagoshima/3/2012	3.20	4.07	3c	Japan	14.00	0.00	5.00		2.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2012-06-29		EPI396310	Kagoshima Prefectural Institute For Environmental Research And Public Health
A/Hawaii/22/2012	3.20	4.07	3c	USA	15.00	0.00	6.00		2.00	North America	Centers For Disease Control And Prevention	2012-07-10		EPI398424	State Of Hawaii Department Of Health
A/Hawaii/25/2012	3.20	4.07	3c	USA	16.00	0.00	6.00		2.00	North America	Centers For Disease Control And Prevention	2012-09-04		EPI398016	State Of Hawaii Department Of Health
A/Denmark/87/2011	3.20	4.07	3c	Denmark	14.00	0.04	5.00		2.00	Europe	National Institute For Medical Research	2011-09-04		EPI358927	Statens Serum Institute
A/Yokohama/145/2011	3.20	4.07	3c	Japan	14.00	0.04	5.00		2.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2011-09-07		EPI347673	Yokohama City Institute Of Public Health.
A/England/253/2011	3.20	4.07	3c	Australia	14.00	0.04	5.00		2.00	Oceania	Health Protection Agency	2011-09-11		EPI346393	Microbiology Services Colindale, Public Health England
A/Cambodia/V1005380/2011	3.20	4.07	3c	Cambodia	14.00	0.03	5.00		2.00	Southeast Asia	Other Database Import	2011-10-03		EPI447015	
A/Victoria/57/2012	3.20	4.07	3c	Australia	14.00	0.00	5.00		2.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2012-06-27		EPI629977	Victorian Infectious Diseases Reference Laboratory
A/Yamagata/257/2012	3.20	4.07	3c	Japan	14.00	0.00	5.00		2.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2012-04-26		EPI378279	Yamagata Prefectural Institute Of Public Health
A/Thailand/CU-B6274/2012	3.20	4.07	3c	Thailand	14.00	0.00	5.00		2.00	Southeast Asia	Other Database Import	2012-06-23		EPI684774	
A/Hunan-Yueyanglou/135/2012	3.20	4.07	3c	China	14.00	0.01	5.00		2.00	China	Who Chinese National Influenza Center	2012-02-13		EPI388408	Who Chinese National Influenza Center
A/Austria/28/2012	3.20	4.07	3c	Austria	14.00	0.01	5.00		2.00	Europe	Medical University Vienna	2012-02-15		EPI359633	Department Of Virology, Medical University Vienna
A/PuntaArenas/52090/2012	3.20	4.07	3c	Chile	14.00	0.00	5.00		2.00	South America	Centers For Disease Control And Prevention	2012-07-21		EPI394810	Instituto De Salud Publica De Chile
A/Haryana/9972/2012	3.20	4.07	3c	India	15.00	0.00	7.00	3.00	2.00	South Asia	Other Database Import	2012-12-08		EPI527666	
A/Thailand/VIROAF1/2012	3.20	4.07	3c	Thailand	16.00	0.01	6.00	1.00	3.00	Southeast Asia	Other Database Import	2012-10-06		EPI530954	
A/Thailand/CU-B7269/2012	3.20	4.07	3c	Thailand	16.00	0.00	5.00		3.00	Southeast Asia	Other Database Import	2012-12-07		EPI684785	
A/Thailand/CU-H3490/2012	3.20	4.07	3c	Thailand	16.00	0.00	5.00		3.00	Southeast Asia	Other Database Import	2012-11-16		EPI684783	
A/Beijing/24/2012	3.20	4.07	3c	China	16.00	0.00	5.00		3.00	China	Other Database Import	2012-12-27		EPI467735	
A/Osaka-C/71/2012	3.20	4.07	3c	Japan	15.00	0.00	5.00		3.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2012-10-28		EPI407005	Osaka City Institute Of Public Health And Environmental Sciences
A/Lyon/CHU/5213	3.20	4.29	3c	France	15.00	0.00	7.00	2.00	3.00	Europe	National Institute For Medical Research	2012-12-25		EPI416506	Crr Virus Influenza Region Sud
A/Bangladesh/2596/2012	3.20	4.07	3c	Bangladesh	15.00	0.01	5.00		3.00	South Asia	Centers For Disease Control And Prevention	2012-08-03		EPI397570	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/Beijing/40430/2012	3.20	4.22	3c	China	16.00	0.00	5.00		3.00	China	Other Database Import	2012-11-28		EPI598830	
A/Taiwan/878/2012	3.20	4.07	3c	Taiwan	15.00	0.01	5.00		3.00	China	Centers For Disease Control And Prevention	2012-07-04		EPI407296	Adimmune Corporation
A/HongKong/8116/2012	3.20	4.07	3c	Hong Kong	15.00	0.02	5.00		3.00	China	Centers For Disease Control And Prevention	2012-06-27		EPI391276	Government Virus Unit
A/HongKong/8149/2012	3.20	4.07	3c	Hong Kong	15.00	0.02	5.00		3.00	China	Public Health Laboratory Services Branch, Centre For Health Protection	2012-06-28		EPI382804	Public Health Laboratory Services Branch, Centre For Health Protection
A/Osaka/35/2013	3.20	4.88	3c	Japan	15.00	0.00	5.00	2.00	3.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2013-06-04		EPI467009	Osaka Prefectural Institute Of Public Health
A/Nara/1021/2013	3.20	4.07	3c	Japan	16.00	0.00	8.00	3.00	3.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2013-03-06		EPI468504	Nara Prefectural Institute For Hygiene And Environment
A/England/569/2012	3.20	4.07	3c	United Kingdom	16.00	0.01	6.00	1.00	3.00	Europe	National Institute For Medical Research	2012-08-19		EPI405894	Health Protection Agency
A/Denmark/68/2012	3.20	4.07	3c	Denmark	17.00	0.01	5.00	1.00	3.00	Europe	National Institute For Medical Research	2012-09-26		EPI408105	Statens Serum Institute
A/California/15/2013	3.20	4.07	3c	USA	15.00	0.00	5.00	1.00	3.00	North America	Centers For Disease Control And Prevention	2013-02-02		EPI439454	California Department Of Health Services
A/Phuket/407/2012	3.20	4.07	3c	Thailand	15.00	0.00	5.00		3.00	Southeast Asia	Who Collaborating Centre For Reference And Research On Influenza	2012-12-07		EPI450268	Who National Influenza Centre, National Institute Of Medical Research (nimr)
A/Taiwan/689/2013	3.20	4.07	3c	Taiwan	17.00	0.00	5.00	1.00	3.00	China	National Institute Of Infectious Diseases (niid)	2013-05-25		EPI467034	Center For Disease Control
A/Vietnam/13VH3-4/2013	3.20	4.07	3c	Vietnam	15.00	0.00	5.00		3.00	Southeast Asia	Niigata University	2013-04-13		EPI567910	
A/Pennsylvania/3/2013	3.20	4.18	3c	USA	16.00	0.00	6.00	2.00	3.00	North America	Centers For Disease Control And Prevention	2013-02-20		EPI439448	Pennsylvania Department Of Health
A/Guangdong/54/2013	3.20	4.07	3c	China	15.00	0.00	5.00		3.00	China	Other Database Import	2013-03-27		EPI1034435	
A/StPetersburg/170/2013	3.20	4.07	3c	Russia	15.00	0.00	4.00		3.00	West Asia	National Institute For Medical Research	2013-03-20		EPI460554	Who National Influenza Centre Russian Federation
A/Thailand/SN11893/2013	3.20	4.07	3c	Thailand	15.00	0.00	4.00		3.00	Southeast Asia	Other Database Import	2013-01-23		EPI703300	
A/Thailand/CU-B7646/2013	3.20	4.07	3c	Thailand	15.00	0.00	4.00		3.00	Southeast Asia	Other Database Import	2013-02-16		EPI684792	
A/HongKong/15/2013	3.20	4.07	3c	Hong Kong	16.00	0.01	5.00		3.00	China	National Institute For Medical Research	2012-12-26		EPI426063	Government Virus Unit
A/Yamanashi/297/2012	3.20	4.07	3c3	Japan	17.00	0.03	5.00		3.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2012-09-26		EPI406199	Yamanashi Institute For Public Health
A/Taiwan/880/2012	3.20	4.07	3c3	Taiwan	17.00	0.07	6.00	1.00	3.00	China	National Institute Of Infectious Diseases (niid)	2012-07-04		EPI407150	Center For Disease Control
A/Delhi/1951/2013	3.20	4.07	3c3	India	17.00	0.01	7.00	2.00	3.00	South Asia	Other Database Import	2013-02-21		EPI527685	
A/Delhi/1313/2013	3.20	4.07	3c3	India	17.00	0.01	6.00	1.00	3.00	South Asia	Other Database Import	2013-02-17		EPI527675	
A/Bangladesh/6404/2013	3.20	4.07	3c3	Bangladesh	17.00	0.00	6.00	1.00	3.00	South Asia	Centers For Disease Control And Prevention	2013-04-18		EPI465196	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/NewYork/39/2012	3.20	4.07	3c3	USA	17.00	0.02	5.00		3.00	North America	Centers For Disease Control And Prevention	2012-10-21		EPI404927	Centers For Disease Control And Prevention
A/England/593/2012	3.20	4.53	3c3	United Kingdom	16.00	0.02	5.00		3.00	Europe	National Institute For Medical Research	2012-11-13		EPI408117	Health Protection Agency
A/England/570/2012	3.20	4.53	3c3	Australia	17.00	0.02	6.00	2.00	3.00	Oceania	Health Protection Agency	2012-10-24		EPI407285	Microbiology Services Colindale, Public Health England
A/Zambia/13/093/2013	3.20	4.07	3c3	Zambia	19.00	0.00	5.00		3.00	Africa	National Institute For Medical Research	2013-08-28		EPI530695	University Teaching Hospital
A/Moscow/CRIE-12/2014	3.20	4.07	3c3	Russia	20.00	0.00	8.00	3.00	3.00	West Asia	Central Research Institute For Epidemiology	2014-02-20		EPI545228	Central Research Institute For Epidemiology
A/Zambia/4-288/2014	3.20	4.07	3c3	Zambia	18.00	0.00	5.00		3.00	Africa	Crick Worldwide Influenza Centre	2014-12-11		EPI589803	University Teaching Hospital
A/Zambia/6-037/2014	3.20	4.07	3c3	Zambia	18.00	0.00	5.00		3.00	Africa	National Institute For Medical Research	2014-04-11		EPI574678	University Teaching Hospital
A/Kenya/110/2014	3.20	4.07	3c3	Kenya	18.00	0.00	6.00	2.00	3.00	Africa	Centers For Disease Control And Prevention	2014-03-12		EPI537859	Cdc Kenya
A/Uganda/5535/2016	3.20	4.07	3c3	Uganda	17.00	0.00	6.00	2.00	3.00	Africa	Centers For Disease Control And Prevention	2016-06-14		EPI841306	Uganda Virus Research Institute (uvri), National Influenza Center
A/Kenya/245/2012	3.20	4.83	3c3	Kenya	18.00	0.01	6.00	1.00	3.00	Africa	Other Database Import	2012-12-11		EPI467930	
A/Kenya/258/2013	3.20	4.83	3c3	Kenya	18.00	0.01	9.00	4.00	3.00	Africa	Other Database Import	2013-01-21		EPI467943	
A/Kenya/254/2013	3.20	4.83	3c3	Kenya	18.00	0.01	5.00		3.00	Africa	Other Database Import	2013-02-13		EPI467939	
A/SouthAustralia/176/2012	3.20	4.07	3c3	Australia	18.00	0.02	5.00		3.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2012-11-29		EPI434612	Institute Of Medical And Veterinary Science (imvs)
A/SouthAustralia/177/2012	3.20	4.07	3c3	Australia	18.00	0.02	5.00		3.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2012-11-29		EPI566500	Institute Of Medical And Veterinary Science (imvs)
A/Beijing/38998/2012	3.20	4.07	3c3	China	17.00	0.15	6.00		3.00	China	Other Database Import	2012-09-19		EPI598836	
A/JiangxiDonghu/11357/2014	3.77	4.65	3c3	China	17.00	0.00	6.00		4.00	China	Other Database Import	2014-12-31		EPI985616	
A/Singapore/KK096/2014	3.77	4.65	3c3	Singapore	18.00	0.02	6.00	1.00	4.00	Southeast Asia	Ministry Of Health, Singapore	2014-01-27		EPI547538	Ministry Of Health, Singapore
A/Cambodia/870/2014	3.77	4.65	3c3	Cambodia	20.00	0.00	7.00	3.00	4.00	Southeast Asia	Centers For Disease Control And Prevention	2014-08-05		EPI578858	National Public Health Laboratory
A/Bangladesh/8598/2013	3.77	4.65	3c3	Bangladesh	18.00	0.05	6.00	1.00	4.00	South Asia	Centers For Disease Control And Prevention	2013-11-04		EPI513295	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/Ghana/DILI-0479/2014	3.77	4.65	3c3	Ghana	17.00	0.01	7.00	1.00	4.00	Africa	National Institute For Medical Research	2014-05-19		EPI541430	University Of Ghana
A/Dakar/9/2014	3.77	4.65	3c3	Senegal	17.00	0.01	7.00	1.00	4.00	Africa	National Institute For Medical Research	2014-04-23		EPI541414	Institut Pasteur De Dakar
A/Dakar/30/2014	3.77	4.65	3c3	Senegal	17.00	0.00	6.00		4.00	Africa	National Institute For Medical Research	2014-10-07		EPI561769	Institut Pasteur De Dakar
A/Dakar/27/2014	3.77	4.65	3c3	Senegal	17.00	0.00	6.00		4.00	Africa	National Institute For Medical Research	2014-09-23		EPI574557	Institut Pasteur De Dakar
A/Ghana/DILI-14-0659/2014	3.77	4.65	3c3	Ghana	17.00	0.00	6.00		4.00	Africa	National Institute For Medical Research	2014-07-22		EPI574589	University Of Ghana
A/Cameroon/3888/2014	3.77	4.65	3c3	Cameroon	17.00	0.00	6.00		4.00	Africa	National Institute For Medical Research	2014-06-11		EPI543102	Centre Pasteur Du Cameroun
A/BurkinaFaso/64/2014	3.77	4.65	3c3	Burkina Faso	17.00	0.01	7.00	1.00	4.00	Africa	Centers For Disease Control And Prevention	2014-05-26		EPI541597	Irss
A/Stockholm/6/2014	3.77	4.65	3c3	Sweden	17.00	0.02	6.00		4.00	Europe	Swedish Institute For Infectious Disease Control	2014-02-06		EPI515296	National Institute For Medical Research
A/Cameroon/15v-7707/2015	3.77	4.65	3c3	Cameroon	17.00	0.00	7.00	1.00	4.00	Africa	University Of Buea	2015-10-12		EPI1333792	Centre Pasteur Du Cameroun
A/Oman/4289/2014	3.77	4.65	3c3	Oman	18.00	0.00	6.00		4.00	West Asia	National Institute For Medical Research	2014-07-28		EPI551898	Ministry Of Health Sultanate Of Oman
A/Bangladesh/6674/2014	3.77	4.65	3c3	Bangladesh	18.00	0.01	6.00		4.00	South Asia	Centers For Disease Control And Prevention	2014-05-27		EPI543237	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/Ethiopia/1146/2014	3.77	4.65	3c3	Ethiopia	18.00	0.00	7.00	1.00	4.00	Africa	Centers For Disease Control And Prevention	2014-10-23		EPI564312	Ethiopian Health And Nutrition Research Institute (ehnri)
A/SriLanka/58/2014	3.77	4.65	3c3	Sri Lanka	18.00	0.00	7.00	1.00	4.00	South Asia	Who Collaborating Centre For Reference And Research On Influenza	2014-10-29		EPI629846	Medical Research Institute
A/SaudiArabia/6/2014	3.77	4.65	3c3	Saudi Arabia	18.00	0.00	6.00		4.00	West Asia	Other Database Import	2014-10-02		EPI966136	
A/Leon/201/2015	3.77	4.65	3c3	Spain	18.00	0.00	7.00	1.00	4.00	Europe	Crick Worldwide Influenza Centre	2015-02-06		EPI598515	Universidad De Valladolid
A/Canoas/LACENRS-1283/2015	3.77	4.65	3c3	Brazil	18.00	0.00	6.00		4.00	South America	Other Database Import	2015-06-15		EPI996642	
A/Canoas/LACENRS-1793/2015	3.77	4.65	3c3	Brazil	19.00	0.00	8.00	2.00	4.00	South America	Other Database Import	2015-07-17		EPI996346	
A/Austria/895420/2015	3.77	4.65	3c3	Austria	19.00	0.00	6.00	1.00	4.00	Europe	Medical University Vienna	2015-12-19		EPI687182	Department Of Virology, Medical University Vienna
A/Turkey/TR-11/2016	3.77	4.65	3c3	Turkey	19.00	0.00	6.00	1.00	4.00	West Asia	Crick Worldwide Influenza Centre	2016-01-15		EPI715876	Refik Saydam National Public Health Agency
A/Kanagawa/160/2014	3.77	4.65	3c3.A	Japan	18.00	0.00	6.00	2.00	4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2014-07-19		EPI541917	Kanagawa Prefectural Institute Of Public Health
A/Singapore/OHC019/2013	3.77	4.65	3c3.A	Singapore	17.00	0.05	7.00		4.00	Southeast Asia	Ministry Of Health, Singapore	2013-12-13		EPI553414	Ministry Of Health, Singapore
A/Wakayama-C/88/2014	3.77	4.65	3c3.A	Japan	17.00	0.01	9.00	2.00	4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2014-06-19		EPI543759	Wakayama City Institute Of Public Health
A/Singapore/OHC015/2013	3.77	4.65	3c3.A	Singapore	17.00	0.05	7.00		4.00	Southeast Asia	Ministry Of Health, Singapore	2013-12-13		EPI553398	Ministry Of Health, Singapore
A/Nepal/464/2014	3.77	4.65	3c3.A	Nepal	17.00	0.02	7.00		4.00	South Asia	National Institute Of Infectious Diseases (niid)	2014-03-28		EPI715759	National Public Health Laboratory
A/India/6216/2014	3.77	4.65	3c3.A	India	17.00	0.03	7.00		4.00	South Asia	Centers For Disease Control And Prevention	2014-02-06		EPI539182	National Institute Of Virology
A/Mississippi/4/2014	3.77	4.65	3c3.A	USA	18.00	0.00	7.00		4.00	North America	Centers For Disease Control And Prevention	2014-10-16		EPI545656	Mississippi Public Health Laboratory
A/Lao/899/2014	3.77	4.65	3c3.A	Laos	17.00	0.00	8.00	1.00	4.00	Southeast Asia	Centers For Disease Control And Prevention	2014-09-08		EPI560561	National Center For Laboratory And Epidemiology
A/India/7752/2014	3.77	4.65	3c3.A	India	17.00	0.01	7.00		4.00	South Asia	Centers For Disease Control And Prevention	2014-06-05		EPI539183	National Institute Of Virology
A/Nepal/1637A/2014	3.77	4.65	3c3.A	Nepal	17.00	0.00	7.00		4.00	South Asia	National Institute Of Infectious Diseases (niid)	2014-09-03		EPI578954	National Public Health Laboratory
A/Nepal/1642A/2014	3.77	4.65	3c3.A	Nepal	17.00	0.00	7.00		4.00	South Asia	National Institute Of Infectious Diseases (niid)	2014-09-03		EPI578962	National Public Health Laboratory
A/Guangdong-Haizhu/1510/2014	3.77	4.86	3c3.A	China	17.00	0.01	8.00		4.00	China	National Institute For Medical Research	2014-06-25		EPI549528	Who Chinese National Influenza Center
A/India/5688/2014	3.77	4.86	3c3.A	India	18.00	0.01	8.00		4.00	South Asia	Centers For Disease Control And Prevention	2014-05-19		EPI539179	National Institute Of Virology
A/Shanxi-Xinghualing/1663/2014	3.77	4.65	3c3.A	China	17.00	0.00	7.00		4.00	China	Who Chinese National Influenza Center	2014-08-12		EPI554880	Who Chinese National Influenza Center
A/Nepal/425/2014	3.77	4.65	3c3.A	Nepal	17.00	0.02	7.00		4.00	South Asia	National Institute Of Infectious Diseases (niid)	2014-03-25		EPI715757	National Public Health Laboratory
A/Anhui-Tianjiaan/1736/2014	3.77	4.65	3c3.A	China	17.00	0.00	7.00		4.00	China	Who Chinese National Influenza Center	2014-09-01		EPI554886	Who Chinese National Influenza Center
A/Tsiroanomandidy/1384/2015	3.77	4.65	3c3.A	Madagascar	17.00	0.00	7.00		4.00	Africa	Crick Worldwide Influenza Centre	2015-03-30		EPI621801	Institut Pasteur De Madagascar
A/Moramanga/50/2015	3.77	4.65	3c3.A	Madagascar	18.00	0.00	7.00	1.00	4.00	Africa	Crick Worldwide Influenza Centre	2015-01-08		EPI621781	Institut Pasteur De Madagascar
A/Madagascar/2739/2014	3.77	4.65	3c3.A	Madagascar	17.00	0.00	7.00		4.00	Africa	National Institute For Medical Research	2014-09-30		EPI561787	Institut Pasteur De Madagascar
A/Lao/O490/2014	3.77	4.78	3c3.A	Laos	18.00	0.00	7.00		4.00	Southeast Asia	National Institute Of Infectious Diseases (niid)	2014-10-03		EPI578974	Ministry Of Health Laos
A/Lao/I024/2015	3.77	4.78	3c3.A	Laos	18.00	0.00	7.00		4.00	Southeast Asia	National Institute Of Infectious Diseases (niid)	2014-12-29		EPI610567	Ministry Of Health Laos
A/Lao/46/2015	3.77	4.78	3c3.A	Laos	18.00	0.00	7.00		4.00	Southeast Asia	Centers For Disease Control And Prevention	2015-01-14		EPI634100	National Center For Laboratory And Epidemiology
A/Beijing-Huairou/122/2015	3.77	4.65	3c3.A	China	17.00	0.00	7.00	1.00	4.00	China	Who Chinese National Influenza Center	2015-01-05		EPI586296	Who Chinese National Influenza Center
A/Nepal/630/2014	3.77	4.65	3c3.A	Nepal	17.00	0.01	7.00		4.00	South Asia	National Institute Of Infectious Diseases (niid)	2014-04-10		EPI715761	National Public Health Laboratory
A/HongKong/6033/2014	3.77	4.65	3c3.A	Hong Kong	17.00	0.01	7.00		4.00	China	National Institute For Medical Research	2014-06-05		EPI551864	Government Virus Unit
A/Nepal/1336/2014	3.77	4.65	3c3.A	Nepal	17.00	0.00	7.00		4.00	South Asia	National Institute Of Infectious Diseases (niid)	2014-08-07		EPI715765	National Public Health Laboratory
A/Sydney/84/2014	3.77	4.65	3c3.A	Australia	17.00	0.01	9.00	2.00	4.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2014-05-22		EPI540957	Westmead Hospital
A/NewMexico/8/2014	3.77	4.65	3c3.A	USA	17.00	0.02	9.00	2.00	4.00	North America	Centers For Disease Control And Prevention	2014-04-07		EPI537587	New Mexico Department Of Health
A/Christchurch/510/2014	3.77	4.65	3c3.A	New Zealand	17.00	0.02	8.00	1.00	4.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2014-04-04		EPI541137	Canterbury Health Services
A/Sydney/63/2014	3.77	4.65	3c3.A	Australia	17.00	0.03	7.00		4.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2014-02-27		EPI540735	Prince Of Wales Hospital
A/Kobe/63/2014	3.77	4.65	3c3.A	Japan	18.00	0.01	7.00	1.00	4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2014-05-21		EPI554572	Kobe Institute Of Health
